inv_logo,inv_id,inv_name,inv_description,inv_type,inv_blob,inv_archive_status,inv_copies
,,Python,This book contains basics of python.,BOOK,,TRUE,3
,,java,This book contains basics of java.,BOOK,,TRUE,4
,,c programming,This book contains basics of c programming language.,BOOK,,TRUE,3
,,c++,This book contains basics of C++.,BOOK,,TRUE,5
,,Advance java,This book contains advance of java.,BOOK,,TRUE,4
,,Advance python,This book contains advance of python.,BOOK,,TRUE,5
,,flask,This book contains fundamentals of flask.,BOOK,,TRUE,5
,,django,This book contains fundamentals of django.,BOOK,,TRUE,3
,,networks,This book contains fundamentals of networks.,BOOK,,TRUE,3
,,devops,This book contains fundamentals of devops.,BOOK,,TRUE,4
,,microsoft,"This book contains fundamentals of microsoft office,like word,power point,excel etc.",BOOK,,TRUE,2
,,storage area network,This book contains fundamentals of storage are network.,BOOK,,TRUE,3
,,iot,This book contains fundamentals of iot.,BOOK,,TRUE,4
,,JavaScript:The Good Parts,This book contains fundamentals of JavaScript.,BOOK,,TRUE,1
,,The Art of Computer Programming,This book contains the art of computer programming.,BOOK,,TRUE,2
,,Introduction to Algorithms,This book contains the introduction to algorithms,BOOK,,TRUE,4
,,Structure and Interpretation of Computer Programs,This book contains structure and interpretation of computer programs,BOOK,,TRUE,4
,,Computer Networks,This book contains about computer networks.,BOOK,,TRUE,2
,,Operating System Concepts,"This book contains regarding operating system.
",BOOK,,TRUE,5
,,Computer Organization and Design,This book contains about computer organization and design.,BOOK,,FALSE,3
,,"Compilers: Principles, Techniques, and Tools",This book contains regarding compilers and tools.,BOOK,,FALSE,2
,,Artificial Intelligence: A Modern Approach,This book contains about the artificail intelligence,BOOK,,FALSE,3
,,Pattern Recognition and Machine Learning,This book contains about Machine learning.,BOOK,,FALSE,2
,,Introduction to the Theory of Computation,This book contains about theory of computation.,BOOK,,FALSE,4
,,Concrete Mathematics: A Foundation for Computer Science,This book contains about concrete mathematics.,BOOK,,FALSE,3
,,The C Programming Language,This book contains about C programming language.,BOOK,,FALSE,1
,,Computer Vision: Algorithms and Applications,This book contains about computer vision:algorithm and applications.,BOOK,,FALSE,1
,,Introduction to Data Mining,This book contains about data mining.,BOOK,,FALSE,2
,,Artificial Intelligence: Foundations of Computational Agents,This book contains about artificial intelligence.,BOOK,,FALSE,1
,,Database System Concepts,This book contains about database concepts.,BOOK,,FALSE,2
,,Computer Graphics: Principles and Practice,This book contains regarding computer graphics.,BOOK,,FALSE,2
,,Digital Image Processing,This book contains regarding digital image processing.,BOOK,,FALSE,3
,,Artificial Intelligence: A Guide to Intelligent Systems,This book contains about artificial intelligence.,BOOK,,FALSE,3
,,"Introduction to Automata Theory, Languages, and Computation",This book contains about Automata theory and computation.,BOOK,,FALSE,2
,,Computer Architecture: A Quantitative Approach,This book contains about computer architecture.,BOOK,,FALSE,1
,,Data Structures and Algorithms in Python,This book contains about data structure and algorithms.,BOOK,,FALSE,1
,,Computer Organization and Architecture: Designing for Performance,This book contains about computer organization and design.,BOOK,,FALSE,3
,,Introduction to Artificial Intelligence,This book contains about artificial intelligence.,BOOK,,FALSE,2
,,Machine Learning,This book contains about machine learning.,BOOK,,FALSE,3
,,Introduction to the Design and Analysis of Algorithms,"This book contains about design,analysis and algorithms.",BOOK,,TRUE,2
,,Web Technologies: A Computer Science Perspective,This book contains about web technologies.,BOOK,,TRUE,2
,,"Computer Networking: Principles, Protocols, and Practice",This book contains about computer networks.,BOOK,,TRUE,2
,,Introduction to Artificial Intelligence,This book contains about artificial intelligence.,BOOK,,TRUE,4
,,Algorithm Design,This book contains about Algorithm design.,BOOK,,TRUE,1
,,Computer Networks,This book contains about Computer networks.,BOOK,,TRUE,5
,,Software Engineering: A Practitioner's Approach,This book contains about software engineering.,BOOK,,TRUE,2
,,Computer Graphics: Principles and Practice,This book contains about Computer Graphics.,BOOK,,TRUE,3
,,Pattern Recognition and Machine Learning,This book contains about pattern recognition and machine learning.,BOOK,,TRUE,2
,,Compiler Construction,This book contains about compiler construction.,BOOK,,TRUE,4
,,Introduction to Formal Languages and Automata,This book contains about formal languages and automata.,BOOK,,TRUE,2
,,Computer Security: Principles and Practice,This book contains about computer security.,BOOK,,TRUE,5
,,Introduction to Human-Computer Interaction,This book contains about human computer interaction.,BOOK,,TRUE,1
,,Computer Vision: Algorithms and Applications,This book contains about computer vision.,BOOK,,TRUE,2
,,The C Programming Language,This book contains about C programming language.,BOOK,,TRUE,4
,,"Big Data: A Revolution That Will Transform How We Live, Work, and Think",This book contains about Big data analytics..,BOOK,,TRUE,3
,,Computer Architecture: A Quantitative Approach,This book contains about computer architecture.,BOOK,,TRUE,4
,,Introduction to Cryptography with Coding Theory,This book contains about Cryptography.,BOOK,,TRUE,4
,,JavaScript:The Good Parts,This book contains about JavaScript.,BOOK,,TRUE,2
,,The Art of Computer Programming,This book contains regarding art of computer programming.,BOOK,,TRUE,1
,,Introduction to Algorithms,This book contains about introduction to Algorithms.,BOOK,,TRUE,1
,,Structure and Interpretation of Computer Programs,This book contains about structure and interpretation of computer programs.,BOOK,,TRUE,5
,,Computer Networks,This book contains about computer networks.,BOOK,,TRUE,2
,,Operating System Concepts,This book contains about operating system.,BOOK,,TRUE,3
,,Computer Organization and Design,This book contains about computer organization and design.,BOOK,,TRUE,2
,,Introuduction to Artificial Intelligence,This book contains about Artificial intelligence.,BOOK,,TRUE,3
,,Data Science Handbook,This book contains about DataScience.,BOOK,,TRUE,4
,,Computer Organization and Embedded Systems,This book contains about Computer Organization and embedded system.,BOOK,,TRUE,2
,,Introduction to Robotics: Mechanics and Control,This book contains about robotics.,BOOK,,TRUE,4
,,Pattern Classification,This book contains about Pattern Classification.,BOOK,,TRUE,2
,,Graph Theory and Its Applications,This book contains about Graph Theory.,BOOK,,TRUE,5
,,Computer Graphics: Principles and Practice,This book contains regarding computer graphics.,BOOK,,TRUE,2
,,Digital Image Processing,This book contains regarding digital image processing.,BOOK,,TRUE,1
,,Artificial Intelligence: A Guide to Intelligent Systems,This book contains about artificial intelligence.,BOOK,,TRUE,2
